Type,Từ,Phiên âm,Hán Việt,Nghĩa,Ví dụ,Phiên âm ví dụ,Nghĩa ví dụ
HSK 1,再,zài,Tái,lại,我再也不想去了,Wǒ zài yě bù xiǎng qù le,Tôi không muốn đi lại lần nữa
HSK 1,再见,zàijiàn,Tái kiến,tạm biệt,"明天见, 再见！","Míngtiān jiàn, zàijiàn","Ngày mai gặp, tạm biệt!"
HSK 1,在,zài,Tại,đang,他在看书,Tā zài kàn shū,Anh ấy đang đọc sách
HSK 1,在家,zàijiā,Tại gia,tại nhà,今天我在家工作,Jīntiān wǒ zàijiā gōngzuò,Hôm nay tôi làm việc tại nhà
HSK 1,早,zǎo,Tảo,sớm,我今天起得很早,Wǒ jīntiān qǐ de hěn zǎo,Hôm nay tôi dậy rất sớm
HSK 1,早饭,zǎofàn,Tảo phạn,bữa sáng,早饭我吃了面包,Zǎofàn wǒ chī le miànbāo,Bữa sáng tôi đã ăn bánh mì
HSK 1,早上,zǎoshang,Tảo thượng,buổi sáng,早上天气很好,Zǎoshang tiānqì hěn hǎo,Buổi sáng thời tiết rất tốt
HSK 1,怎么,zěnme,Chẩm ma,"làm sao, thế nào",这个字怎么写？,Zhège zì zěnme xiě?,Chữ này viết thế nào?
HSK 1,站,zhàn,Trạm,đứng,他站在门口,Tā zhàn zài ménkǒu,Anh ấy đứng ở cửa ra vào
HSK 1,找,zhǎo,Trảo,tìm,我在找我的钥匙,Wǒ zài zhǎo wǒ de yàoshi,Tôi đang tìm chìa khóa của mình
HSK 1,找到,zhǎodào,Trảo đáo,"tìm thấy, tìm ra",我终于找到了解决办法,Wǒ zhōngyú zhǎodào le jiějué bànfǎ,Cuối cùng tôi đã tìm ra giải pháp
HSK 1,这,zhè,Giá,(cái) này,这本书很有趣,Zhè běn shū hěn yǒuqù,Cuốn sách này rất thú vị
HSK 1,这边,zhèbiān,Giá biên,bên này,这边的风景很美,Zhè biān de fēngjǐng hěn měi,Phong cảnh bên này rất đẹp
HSK 1,这里,zhèlǐ,Giá lý,ở đây,这里是一个美丽的城市,Zhèlǐ shì yī gè měilì de chéngshì,(Ở) đây là một thành phố xinh đẹp
HSK 1,这儿,zhèr,Giá nhi,ở đây,我们在这儿等你,Wǒmen zài zhèr děng nǐ,Chúng tôi đang đợi bạn ở đây
HSK 1,这些,zhèxiē,Giá tá,những (cái) này,这些花真漂亮,Zhèxiē huā zhēn piàoliang,Những bông hoa này thật đẹp
HSK 1,着,zhe,Trứ,đang,他正在看着我,Tā zhèngzài kànzhe wǒ,Anh ấy đang nhìn tôi
HSK 1,真,zhēn,Chân,thật,你真聪明,Nǐ zhēn cōngmíng,Bạn thật thông minh
HSK 1,真的,zhēn de,Chân đích,thật sự,这故事真的很感人,Zhè gùshì zhēn de hěn gǎnrén,Câu chuyện này thật sự rất cảm động
HSK 1,正,zhèng,Chính,"chính xác, đúng…",这幅画正适合这个房间,Zhè fú huà zhèng shìhé zhège fángjiān,Bức tranh này vừa đúng hợp với căn phòng này
HSK 1,正在,zhèngzài,Chính tại,đang,我正在做晚饭,Wǒ zhèngzài zuò wǎnfàn,Tôi đang nấu bữa tối
HSK 1,知道,zhīdào,Tri đạo,biết,我知道这个问题的答案,Wǒ zhīdào zhège wèntí de dá'àn,Tôi biết đáp án cho câu hỏi này
HSK 1,知识,zhīshì,Tri thức,kiến thức,他的知识很丰富,Tā de zhīshì hěn fēngfù,Kiến thức của anh ấy rất phong phú
HSK 1,中,zhōng,Trung,trong,他在房间中,Tā zài fángjiān zhōng,Anh ấy ở trong phòng
HSK 1,中国,Zhōngguó,Trung Quốc,Trung Quốc,中国文化很丰富,Zhōngguó wénhuà hěn fēngfù,Văn hóa Trung Quốc rất phong phú
HSK 1,中间,zhōngjiān,Trung gian,ở giữa,我站在两座山的中间,Wǒ zhàn zài liǎng zuò shān de zhōngjiān,Tôi đứng ở giữa hai ngọn núi
HSK 1,中文,Zhōngwén,Trung Văn,Tiếng Trung,中文是世界上最常用的语言,Zhōngwén shì shìjiè shàng zuì cháng yòng de yǔyán,Tiếng Trung là ngôn ngữ được sử dụng nhiều nhất thế giới
HSK 1,中午,zhōngwǔ,Trung ngọ,buổi trưa,中午我们去吃饭,Zhōngwǔ wǒmen qù chīfàn,Buổi trưa chúng ta đi ăn
HSK 1,中学,zhōngxué,Trung học,trung học,他在中学学习,Tā zài zhōngxué xuéxí,Anh ấy học ở trường trung học
HSK 1,中学生,zhōngxuéshēng,Trung học sinh,học sinh trung học,我是一名中学生,Wǒ shì yī míng zhōngxuéshēng,Tôi là một học sinh trung học
HSK 1,重,zhòng,Trọng,nặng,这个箱子太重了,Zhège xiāngzi tài zhòng le,Cái hộp này quá nặng
HSK 1,重要,zhòngyào,Trọng yếu,quan trọng,这个决定很重要,Zhège juédìng hěn zhòngyào,Quyết định này rất quan trọng
HSK 1,住,zhù,Trú,ở,我住在北京,Wǒ zhù zài Běijīng,Tôi sống ở Bắc Kinh
HSK 1,准备,zhǔnbèi,Chuẩn bị,chuẩn bị,我正在准备考试,Wǒ zhèngzài zhǔnbèi kǎoshì,Tôi đang chuẩn bị cho kỳ thi
HSK 1,桌子,zhuōzi,Trác tử,cái bàn,桌子上有一本书,Zhuōzi shàng yǒu yī běn shū,Trên cái bàn có một cuốn sách
HSK 1,字,zì,Tự,chữ,这个字我不会写,Zhège zì wǒ bù huì xiě,Chữ này tôi không viết được
HSK 1,桌子,zhuōzi,Trác tử,cái bàn,"桌子很大, 可以坐很多人","Zhuōzi hěn dà, kěyǐ zuò hěn duō rén","Cái bàn rất lớn, có thể ngồi nhiều người"
HSK 1,走,zǒu,Tẩu,đi bộ,我喜欢走路去上班,Wǒ xǐhuān zǒulù qù shàngbān,Tôi thích đi bộ đến chỗ làm
HSK 1,走路,zǒulù,Tẩu lộ,đi bộ,他每天走路去学校,Tā měitiān zǒulù qù xuéxiào,Anh ấy đi bộ đến trường mỗi ngày
HSK 1,最,zuì,Tối,nhất,她是班上最聪明的学生,Tā shì bān shàng zuì cōngmíng de xuéshēng,Cô ấy là học sinh thông minh nhất lớp
HSK 1,最好,zuì hǎo,Tối hảo,tốt nhất,你最好早点休息,Nǐ zuì hǎo zǎodiǎn xiūxi,Bạn tốt nhất là nên nghỉ ngơi sớm
HSK 1,最后,zuìhòu,Tối hậu,cuối cùng,最后我们达成了协议,Zuìhòu wǒmen dáchéng le xiéyì,Cuối cùng chúng tôi đã đạt được thỏa thuận
HSK 1,昨天,zuótiān,Tạc thiên,hôm qua,昨天天气很好,Zuótiān tiānqì hěn hǎo,Thời tiết hôm qua rất tốt
HSK 1,左,zuǒ,Tả,trái,请往左转,Qǐng wǎng zuǒ zhuǎn,Vui lòng rẽ trái
HSK 1,左边,zuǒbiān,Tả biên,bên trái,学校在街的左边,Xuéxiào zài jiē de zuǒbiān,Trường học nằm bên trái con phố
HSK 1,坐,zuò,Toạ,ngồi,请坐在椅子上,Qǐng zuò zài yǐzi shàng,Mời ngồi trên ghế
HSK 1,坐下,zuòxià,Toạ hạ,ngồi xuống,请坐下来喝杯茶,Qǐng zuòxià lái hē bēi chá,Xin ngồi xuống và uống trà
HSK 1,做,zuò,Tố,làm,我在做我的作业,Wǒ zài zuò wǒ de zuòyè,Tôi đang làm bài tập của mình
HSK 2,啊,a,A,"a, nhé, nhỉ",你真聪明啊,Nǐ zhēn cōngmíng a,Bạn thật thông minh nhỉ
HSK 2,爱情,àiqíng,Ái tình,tình yêu,爱情是美好的,Àiqíng shì měihǎo de,Tình yêu là điều tuyệt vời
HSK 2,爱人,àirén,Ái nhân,người yêu,这是我的爱人,Zhè shì wǒ de àirén,Đây là người yêu của tôi
HSK 2,安静,ānjìng,An tĩnh,yên tĩnh,图书馆里很安静,Túshūguǎn lǐ hěn ānjìng,Trong thư viện rất yên tĩnh
HSK 2,安全,ānquán,An toàn,an toàn,过马路要注意安全,Guò mǎlù yào zhùyì ānquán,Qua đường phải chú ý an toàn
HSK 2,白色,báisè,Bạch sắc,màu trắng,她穿着白色的裙子,Tā chuānzhuó báisè de qúnzi,Cô ấy mặc chiếc váy màu trắng
HSK 2,班长,bānzhǎng,Ban trưởng,lớp trưởng,班长组织了这次活动,Bānzhǎng zǔzhīle zhè cì huódòng,Lớp trưởng tổ chức sự kiện này
HSK 2,办,bàn,Biện,làm,他正在办签证,Tā zhèngzài bàn qiānzhèng,Anh ấy đang làm thủ tục visa
HSK 2,办法,bànfǎ,Biện pháp,"cách, phương pháp",我们需要找到解决问题的办法,Wǒmen xūyào zhǎodào jiějué wèntí de bànfǎ,Chúng ta cần tìm cách giải quyết vấn đề
HSK 2,办公室,bàngōngshì,Biện công thất,văn phòng,经理在办公室等你,Jīnglǐ zài bàngōngshì děng nǐ,Giám đốc đang đợi bạn ở văn phòng
HSK 2,半夜,bànyè,Bán dạ,nửa đêm,他半夜还在工作,Tā bànyè hái zài gōngzuò,Anh ấy còn làm việc đến nửa đêm
HSK 2,帮助,bāngzhù,Bang trợ,giúp đỡ,谢谢你的帮助,Xièxiè nǐ de bāngzhù,Cảm ơn sự giúp đỡ của bạn
HSK 2,饱,bǎo,Bão,no,我吃得很饱,Wǒ chī de hěn bǎo,Tôi ăn rất no
HSK 2,报名,bàomíng,Báo danh,đăng ký,我想报名参加这个活动,Wǒ xiǎng bàomíng cānjiā zhège huódòng,Tôi muốn đăng ký tham gia hoạt động này
HSK 2,报纸,bàozhǐ,Báo chỉ,báo chí,他在读今天的报纸,Tā zài dú jīntiān de bàozhǐ,Anh ấy đang đọc báo hôm nay
HSK 2,北方,běifāng,Bắc phương,phía Bắc,北京在中国的北方,Běijīng zài Zhōngguó de běifāng,Bắc Kinh nằm ở phía Bắc Trung Quốc
HSK 2,背,bèi,Bối,lưng,他背着一个大书包,Tā bèizhe yī gè dà shūbāo,Anh ấy đeo một chiếc ba lô lớn trên lưng
HSK 2,比如,bǐrú,Tỷ như,ví dụ như,"他喜欢运动, 比如跑步和游泳","Tā xǐhuān yùndòng, bǐrú pǎobù hé yóuyǒng","Anh ấy thích thể thao, ví dụ như chạy bộ và bơi"
HSK 2,比如说,bǐrú shuō,Tỷ như thuyết,chẳng hạn như,"我喜欢很多水果, 比如说苹果","Wǒ xǐhuān hěn duō shuǐguǒ, bǐrú shuō píngguǒ","Tôi thích nhiều loại trái cây, chẳng hạn như táo"
HSK 2,笔,bǐ,Bút,bút,这是一支钢笔,Zhè shì yī zhī gāngbǐ,Đây là một chiếc bút mực
HSK 2,笔记,bǐjì,Bút ký,ghi chú,上课时我习惯做笔记,Shàngkè shí wǒ xíguàn zuò bǐjì,Tôi có thói quen ghi chú trong lớp học
HSK 2,笔记本,bǐjìběn,Bút ký bản,sổ ghi chép,她在笔记本上写下了所有的重要信息,Tā zài bǐjìběn shàng xiěxiàle suǒyǒu de zhòngyào xìnxī,Cô ấy đã viết xuống tất cả thông tin quan trọng vào sổ ghi chép
HSK 2,必须,bìxū,Tất tu,phải,我们必须按时完成任务,Wǒmen bìxū ànshí wánchéng rènwù,Chúng ta phải hoàn thành nhiệm vụ đúng hạn
HSK 2,边,biān,Biên,bên,他坐在河边,Tā zuò zài hé biān,Anh ấy ngồi bên bờ sông
HSK 2,变,biàn,Biến,thay đổi,他的想法变了,Tā de xiǎngfǎ biàn le,Ý kiến của anh ấy đã thay đổi
HSK 2,变成,biànchéng,Biến thành,trở thành,雨水变成了冰,Yǔshuǐ biànchéng le bīng,Nước mưa đã trở thành băng
HSK 2,遍,biàn,Biến,lần,请再说一遍,Qǐng zài shuō yī biàn,Xin hãy nói lại lần nữa
HSK 2,表,biǎo,Biểu,"đồng hồ, bảng biểu",这块表的时间很准,Zhè kuài biǎo de shíjiān hěn zhǔn,Đồng hồ này chạy rất chính xác
HSK 2,表示,biǎoshì,Biểu thị,"biểu thị, thể hiện",他用手势表示欢迎,Tā yòng shǒushì biǎoshì huānyíng,Anh ấy dùng cử chỉ để thể hiện sự chào đón
HSK 2,不错,bùcuò,Bất thác,không tệ,这家餐馆的菜味道不错,Zhè jiā cānguǎn de cài wèidào bùcuò,Món ăn của nhà hàng này có vị không tệ
HSK 2,不但,bùdàn,Bất đãn,không chỉ,"他不但聪明, 而且很努力","Tā bùdàn cōngmíng, érqiě hěn nǔlì",Anh ấy không chỉ thông minh mà còn rất chăm chỉ
HSK 2,不够,bùgòu,Bất cú,không đủ,这些钱不够买房子,Zhèxiē qián bùgòu mǎi fángzi,Số tiền này không đủ để mua nhà
HSK 2,不过,bùguò,Bất quá,nhưng,"我喜欢这件衣服, 不过有点贵","Wǒ xǐhuān zhè jiàn yīfú, bùguò yǒudiǎn guì","Tôi thích chiếc áo này, nhưng hơi đắt"
HSK 2,不太,bùtài,Bất thái,không quá,今天不太冷,Jīntiān bù tài lěng,Hôm nay không quá lạnh
HSK 2,不要,bù yào,Bất yếu,đừng,请不要打扰他,Qǐng bù yào dǎrǎo tā,Xin đừng làm phiền anh ấy
HSK 2,不好意思,bù hǎoyìsi,Bất hảo ý tứ,"ngại ngùng, xin lỗi","不好意思, 我迟到了","Bù hǎoyìsi, wǒ chídào le","Thật là ngại, tôi đã đến muộn"
HSK 2,不久,bùjiǔ,Bất cửu,không lâu,不久后他就回来了,Bùjiǔ hòu tā jiù huílái le,"Không lâu sau, anh ấy đã quay về"
HSK 2,不满,bùmǎn,Bất mãn,không hài lòng,他对结果感到不满,Tā duì jiéguǒ gǎndào bùmǎn,Anh ấy cảm thấy không hài lòng với kết quả
HSK 2,不如,bùrú,Bất như,không bằng,这个方法不如那个好,Zhège fāngfǎ bùrú nàgè hǎo,Cách này không tốt bằng cách kia
HSK 2,不少,bù shǎo,Bất thiểu,không ít,这次活动来了不少人,Zhè cì huódòng lái le bù shǎo rén,Không ít người đã đến tham gia sự kiện này
HSK 2,不同,bùtóng,Bất đồng,không giống,他们有不同的意见,Tāmen yǒu bùtóng de yìjiàn,Họ có ý kiến không giống nhau
HSK 2,不是,bù shì,Bất thị,không phải,这不是我的书,Zhè bù shì wǒ de shū,Đây không phải là sách của tôi
HSK 2,不一定,bù yīdìng,Bất nhất định,không nhất định,他不一定来,Tā bù yīdìng lái,Anh ấy không nhất định sẽ đến
HSK 2,不一会儿,bù yīhuìr,Bất nhất hội nhi,không lâu sau,不一会儿雨就停了,Bù yīhuìr yǔ jiù tíng le,"Không lâu sau, mưa liền tạnh"
HSK 2,部分,bùfèn,Bộ phận,phần,这个故事只有一部分是真的,Zhège gùshì zhǐ yǒu yī bùfèn shì zhēn de,Câu chuyện này chỉ có một phần là thật
HSK 2,才,cái,Tài,vừa mới,我才到家,Wǒ cái dào jiā,Tôi vừa mới về đến nhà
HSK 2,菜单,càidān,Thái đơn,thực đơn,请给我看一下菜单,Qǐng gěi wǒ kàn yīxià càidān,Làm ơn cho tôi xem thực đơn
HSK 2,参观,cānguān,Tham quan,tham quan,我们参观了博物馆,Wǒmen cānguānle bówùguǎn,Chúng tôi đã tham quan bảo tàng
HSK 2,参加,cānjiā,Tham gia,tham gia,我想参加这个活动,Wǒ xiǎng cānjiā zhège huódòng,Tôi muốn tham gia hoạt động này
HSK 2,草,cǎo,Thảo,cỏ,花园里有很多草,Huāyuán lǐ yǒu hěn duō cǎo,Trong vườn có rất nhiều cỏ
HSK 2,草地,cǎodì,Thảo địa,bãi cỏ,我们在草地上野餐,Wǒmen zài cǎodì shàng yěcān,Chúng tôi picnic trên bãi cỏ
HSK 2,层,céng,Tằng,tầng,我们住在五层,Wǒmen zhù zài wǔ céng,Chúng tôi sống ở tầng năm
HSK 2,查,chá,Tra,tra cứu,请查一下这个单词的意思,Qǐng chá yīxià zhège dāncí de yìsi,Xin hãy tra cứu ý nghĩa của từ này
HSK 2,差不多,chàbùduō,Sai bất đa,gần như,我们差不多同时到达,Wǒmen chàbùduō tóngshí dàodá,Chúng tôi gần như đến cùng lúc
HSK 2,长,cháng,Trường,dài,这条河很长,Zhè tiáo hé hěn cháng,Con sông này rất dài
HSK 2,常见,chángjiàn,Thường kiến,thường gặp,感冒是很常见的疾病,Gǎnmào shì hěn chángjiàn de jíbìng,Cảm cúm là một bệnh rất thường gặp
HSK 2,常用,chángyòng,Thường dụng,thường dùng,这个词在口语中很常用,Zhège cí zài kǒuyǔ zhōng hěn chángyòng,Từ này thường được dùng trong khẩu ngữ
HSK 2,场,chǎng,Trường,"nơi, sân",足球场上有很多观众,Zúqiú chǎng shàng yǒu hěn duō guānzhòng,Có rất nhiều khán giả trên sân bóng đá
HSK 2,超过,chāoguò,Siêu qua,vượt quá,他的收入超过了一百万,Tā de shōurù chāoguò le yī bǎi wàn,Thu nhập của anh ấy vượt quá một triệu
HSK 2,超市,chāoshì,Siêu thị,siêu thị,我们去超市买点东西,Wǒmen qù chāoshì mǎidiǎn dōngxi,Chúng tôi đi siêu thị mua ít đồ
HSK 2,车站,chēzhàn,Xa trạm,bến xe,我们在车站等公共汽车,Wǒmen zài chēzhàn děng gōnggòng qìchē,Chúng tôi đang chờ xe buýt ở bến xe
HSK 2,称,chēng,Xưng,gọi là,大家称他为教授,Dàjiā chēng tā wéi jiàoshòu,Mọi người gọi anh ấy là giáo sư
HSK 2,成,chéng,Thành,thành (công),她成功地完成了任务,Tā chénggōng de wánchéngle rènwù,Cô ấy đã hoàn thành nhiệm vụ một cách thành công
HSK 2,成绩,chéngjì,Thành tích,thành tích,他在考试中取得了好成绩,Tā zài kǎoshì zhōng qǔdéle hǎo chéngjì,Anh ấy đạt được thành tích tốt trong kỳ thi
HSK 2,成为,chéngwéi,Thành vi,trở thành,她梦想成为一名医生,Tā mèngxiǎng chéngwéi yī míng yīshēng,Cô ấy mơ ước trở thành một bác sĩ
HSK 2,重复,chóngfù,Trùng phúc,lặp lại,他重复了一遍这个故事,Tā chóngfù le yī biàn zhège gùshì,Anh ấy lặp lại câu chuyện này một lần
HSK 2,重新,chóngxīn,Trùng tân,lại từ đầu,我决定重新开始学习英语,Wǒ juédìng chóngxīn kāishǐ xuéxí yīngyǔ,Tôi quyết định học tiếng Anh lại từ đầu
HSK 2,出发,chūfā,Xuất phát,khởi hành,我们明天早上七点出发,Wǒmen míngtiān zǎoshang qī diǎn chūfā,Chúng ta sẽ khởi hành vào 7 giờ sáng mai
HSK 2,出国,chūguó,Xuất quốc,ra nước ngoài,他计划明年出国留学,Tā jìhuà míngnián chūguó liúxué,Anh ấy dự định ra nước ngoài du học vào năm tới
HSK 2,出口,chūkǒu,Xuất khẩu,lối ra,请从出口离开,Qǐng cóng chūkǒu líkāi,Xin hãy rời đi từ lối ra
HSK 2,出门,chūmén,Xuất môn,ra ngoài,我今天要出门办事,Wǒ jīntiān yào chūmén bànshì,Hôm nay tôi phải ra ngoài để giải quyết công việc
HSK 2,出生,chūshēng,Xuất sinh,sinh ra,我在这个城市出生,Wǒ zài zhège chéngshì chūshēng,Tôi sinh ra ở thành phố này
HSK 2,出现,chūxiàn,Xuất hiện,xuất hiện,问题突然出现,Wèntí tūrán chūxiàn,Vấn đề đột nhiên xuất hiện
HSK 2,出院,chūyuàn,Xuất viện,xuất viện,病人明天可以出院,Bìngrén míngtiān kěyǐ chūyuàn,Bệnh nhân có thể xuất viện vào ngày mai
HSK 2,出租,chūzū,Xuất tô,cho thuê,我有一间房要出租,Wǒ yǒu yī jiān fáng yào chūzū,Tôi có một căn phòng cần cho thuê
HSK 2,出租车,chūzū chē,Xuất tô xa,xe taxi,我们打了出租车去机场,Wǒmen dǎle chūzū chē qù jīchǎng,Chúng tôi đã bắt xe taxi đến sân bay
HSK 2,航,háng,Hàng,hàng hải,这艘船航行在大海上,Zhè sōu chuán hángxíng zài dàhǎi shàng,Con tàu hàng hải này đang đi trên biển
HSK 2,吹,chuī,Xuy,thổi,风在吹,Fēng zài chuī,Gió đang thổi
HSK 2,春节,chūnjié,Xuân tiết,Tết Nguyên Đán,春节是中国的传统节日,Chūnjié shì zhōngguó de chuántǒng jiérì,Tết Nguyên Đán là lễ hội truyền thống của Trung Quốc
HSK 2,春天,chūntiān,Xuân thiên,mùa xuân,春天百花盛开,Chūntiān bǎihuā shèngkāi,Mùa xuân hoa nở rộ
HSK 2,词,cí,Từ,từ,这个词是什么意思？,Zhège cí shì shénme yìsi?,Từ này có nghĩa là gì?
HSK 2,词典,cídiǎn,Từ điển,từ điển,我用词典查生词,Wǒ yòng cídiǎn chá shēngcí,Tôi dùng từ điển để tra từ mới
HSK 2,词语,cíyǔ,Từ ngữ,từ ngữ,他用词语表达了感情,Tā yòng cíyǔ biǎodále gǎnqíng,Anh ấy dùng từ ngữ để biểu đạt cảm xúc
HSK 2,从小,cóngxiǎo,Tòng tiểu,từ nhỏ,我从小就喜欢画画,Wǒ cóngxiǎo jiù xǐhuān huàhuà,Tôi thích vẽ từ khi còn nhỏ
HSK 2,答应,dāying,Đáp ứng,đồng ý,她答应了我的请求,Tā dāyìngle wǒ de qǐngqiú,Cô ấy đã đồng ý với lời thỉnh cầu của tôi
HSK 2,打工,dǎgōng,Đả công,làm thêm,我在假期打工赚学费,Wǒ zài jiàqī dǎgōng zhuàn xuéfèi,Tôi làm thêm trong kỳ nghỉ để kiếm học phí
HSK 2,打算,dǎsuàn,Đả toán,dự định,我打算明年去旅行,Wǒ dǎsuàn míngnián qù lǚxíng,Tôi dự định đi du lịch vào năm tới
HSK 2,打印,dǎyìn,Đả ấn,in ấn,请帮我打印这份文件,Qǐng bāng wǒ dǎyìn zhè fèn wénjiàn,Xin hãy giúp tôi in tài liệu này
HSK 2,大部分,dàbùfen,Đại bộ phận,phần lớn,大部分人喜欢吃水果,Dà bùfèn rén xǐhuān chī shuǐguǒ,Phần lớn mọi người thích ăn trái cây
HSK 2,大大,dàdà,Đại đại,rất nhiều,新政策大大提高了生产效率,Xīn zhèngcè dàdà tígāo le shēngchǎn xiàolǜ,Chính sách mới đã nâng cao hiệu quả sản xuất rất nhiều
HSK 2,大多数,dàduōshù,Đại đa số,đa số,大多数人都同意这个计划,Dà duōshù rén dōu tóngyì zhège jìhuà,Đa số mọi người đều đồng ý với kế hoạch này
HSK 2,大海,dàhǎi,Đại hải,đại dương,船在大海中航行,Chuán zài dàhǎi zhōng hángxíng,Con tàu đang di chuyển trên đại dương
HSK 2,大家,dàjiā,Đại gia,mọi người,"大家好, 很高兴见到你们","Dàjiā hǎo, hěn gāoxìng jiàndào nǐmen","Xin chào mọi người, rất vui được gặp các bạn"
HSK 2,大量,dàliàng,Đại lượng,số lượng lớn,我们需要大量的水来灌溉庄稼,Wǒmen xūyào dàliàng de shuǐ lái guàngài zhuāngjià,Chúng tôi cần một lượng lớn nước để tưới cây trồng
HSK 2,大门,dàmén,Đại môn,"cổng lớn, cổng chính",学校的大门在八点关门,Xuéxiào de dàmén zài bā diǎn guānmén,Cổng trường chính đóng cửa lúc 8 giờ
HSK 2,大人,dàrén,Đại nhân,người lớn,孩子们要听大人的话,Háizi men yào tīng dàrén de huà,Trẻ em phải nghe lời người lớn
HSK 2,大声,dàshēng,Đại thanh,lớn tiếng,请大声读出这段文字,Qǐng dàshēng dú chū zhè duàn wénzì,Hãy đọc lớn tiếng đoạn văn này
HSK 2,大小,dàxiǎo,Đại tiểu,kích cỡ,请告诉我你的衣服大小,Qǐng gàosu wǒ nǐ de yīfú dàxiǎo,Xin hãy cho tôi biết kích cỡ áo của bạn
HSK 2,大衣,dàyī,Đại y,áo khoác,"天气冷了, 穿上大衣吧","Tiānqì lěngle, chuān shàng dàyī ba","Thời tiết lạnh rồi, mặc áo khoác vào đi"
HSK 2,大自然,dàzìrán,Đại tự nhiên,thiên nhiên,大自然的美丽令人陶醉,Dàzìrán de měilì lìng rén táozuì,Vẻ đẹp của thiên nhiên làm say đắm lòng người
HSK 2,带,dài,Đới,mang theo,出门记得带雨伞,Chūmén jìdé dài yǔsǎn,Ra ngoài nhớ mang theo ô
HSK 2,带来,dàilái,Đới lai,mang đến,这本书给我带来了很多乐趣,Zhè běn shū gěi wǒ dàilái le hěn duō lèqù,Cuốn sách này mang đến cho tôi nhiều niềm vui
HSK 2,单位,dānwèi,Đơn vị,đơn vị,我的单位在市中心,Wǒ de dānwèi zài shì zhōngxīn,Đơn vị của tôi nằm ở trung tâm thành phố
HSK 2,但,dàn,Đãn,nhưng,"他很聪明, 但不太努力","Tā hěn cōngmíng, dàn bù tài nǔlì","Anh ấy rất thông minh, nhưng không mấy chăm chỉ"
HSK 2,但是,dànshì,Đãn thị,nhưng mà,"我想去旅游, 但是没有时间","Wǒ xiǎng qù lǚyóu, dànshì méiyǒu shíjiān","Tôi muốn đi du lịch, nhưng mà không có thời gian"
HSK 2,蛋,dàn,Đản,trứng,早餐我吃了一个煎蛋,Zǎocān wǒ chīle yī gè jiāndàn,Bữa sáng tôi đã ăn một quả trứng ốp la
HSK 2,当,dāng,Đương,đảm nhiệm,他当了班长,Tā dāngle bānzhǎng,Anh ấy đã đảm nhiệm làm lớp trưởng
HSK 2,当时,dāngshí,Đương thời,lúc đó,我当时正在上课,Wǒ dāngshí zhèngzài shàngkè,Lúc đó tôi đang lên lớp
HSK 2,倒,dào,Đảo,"đảo ngược, đổ",他把杯子里的水倒掉了,Tā bǎ bēizi lǐ de shuǐ dàodiào le,Anh ấy đã đổ nước trong cốc đi
HSK 2,到处,dàochù,Đáo xứ,khắp nơi,这个公园到处都是花,Zhège gōngyuán dàochù dōu shì huā,Khắp nơi trong công viên đều có hoa
HSK 2,岛,dǎo,Đảo,đảo,他计划去一个美丽的岛度假,Tā jìhuà qù yīgè měilì de dǎo dùjià,Anh ấy dự định đi nghỉ mát ở một hòn đảo xinh đẹp
HSK 2,道,dào,Đạo,"đường, đạo",他在乡间小道上骑自行车,Tā zài xiāngjiān xiǎodào shàng qí zìxíngchē,Anh ấy đạp xe trên con đường quê nhỏ
HSK 2,道理,dàolǐ,Đạo lý,đạo lý,这个故事告诉了我们一个深刻的道理,Zhège gùshì gàosùle wǒmen yīgè shēnkè de dàolǐ,Câu chuyện này đã kể cho chúng ta một đạo lý sâu sắc
HSK 2,道路,dàolù,Đạo lộ,con đường,这条道路通向城市中心,Zhè tiáo dàolù tōngxiàng chéngshì zhōngxīn,Con đường này dẫn đến trung tâm thành phố
HSK 2,得,dé,Đắc,"được, nhận",他得到了很多奖项,Tā dédàole hěnduō jiǎngxiàng,Anh ấy đã nhận được nhiều giải thưởng
HSK 2,得,de,Đắc,một cách (trợ từ mức độ),他说得很好,Tā shuō de hěn hǎo,Anh ấy nói (một cách) rất tốt
HSK 2,得出,déchū,Đắc xuất,đưa ra (kết luận),他得出了一个新的理论,Tā déchūle yīgè xīn de lǐlùn,Anh ấy đã đưa ra một lý thuyết mới
HSK 2,的话,dehuà,Đích thoại,"nếu, giả sử","如果明天不下雨的话, 我们就去爬山","Rúguǒ míngtiān bù xià yǔ dehuà, wǒmen jiù qù páshān","Nếu ngày mai không mưa, chúng ta sẽ đi leo núi"
HSK 2,灯,dēng,Đăng,đèn,请关掉灯,Qǐng guān diào dēng,Vui lòng tắt đèn
HSK 2,等,děng,Đẳng,"chờ, đợi",我在等公交车,Wǒ zài děng gōngjiāo chē,Tôi đang chờ xe buýt
HSK 2,等到,děngdào,Đẳng đáo,chờ đến khi,我等到天黑才回家,Wǒ děng dào tiānhēi cái huí jiā,Tôi chờ đến khi trời tối mới về nhà
HSK 2,等于,děngyú,Đẳng vu,bằng (với),二加二等于四,Èr jiā èr děngyú sì,Hai cộng hai bằng bốn
HSK 2,低,dī,Đê,"thấp, nhỏ",他把声音调低了,Tā bǎ shēngyīn tiáo dī le,Anh ấy đã giảm nhỏ âm lượng
HSK 2,地球,dìqiú,Địa cầu,trái đất,地球是人类的家园,Dìqiú shì rénlèi de jiāyuán,Trái đất là nhà của nhân loại
